true,lower,upper
216.41969069191117,195.0571941714019,240.1572835567631
226.30496385571803,207.56703538244204,248.0915408541747
179.53263947559316,146.76213523964788,191.08827515961775
243.91491879392083,217.14947914420222,258.89450419122386
182.59278977651798,159.54025597161655,199.41589501866287
265.3471968249006,231.99566358911207,280.11608341078505
255.96556273722578,221.61421287794565,264.7414006250938
251.07808244526584,218.97622266153172,261.5389482598285
206.89743433480803,186.6805456730172,231.6143688869889
170.16484763046648,135.38018293669853,182.2984890929601
158.67556116337954,145.02415139832488,188.69244367862572
162.28220248915957,138.41962081103793,183.9603959028376
172.536054140091,152.34339995521108,196.63117741825255
223.0095610338477,217.27796883809012,264.273202648311
207.0971612780685,171.79582331426974,212.22755474810617
225.68096227864007,193.81514030544466,238.05566917090283
220.24658946338403,184.28251476431456,225.9886424005158
116.3750150268165,92.74317793454188,137.46582337921942
292.61984256549783,272.1381561074093,320.9240380836938
212.32245246323288,193.24966829968645,240.55379023833055
227.28546058905118,199.00575779041574,241.82348919222906
238.10098526662065,223.0590879936905,265.33093571161737
292.20000172852116,264.75273939847636,309.6977951667624
256.4379287295902,233.5748437927088,283.73981409335687
211.78930449097098,175.72320747493646,219.97096132364865
241.9105808086359,219.30362372127144,262.7302934938295
173.9615957856186,186.88354821630813,229.0877693050349
192.52076988136673,169.2589850235885,215.74917470284703
218.15355299794652,196.32457431637098,241.37555604940266
196.20266988210506,178.37890592717937,219.81471232191817
199.0386322336784,171.30260617258222,218.53490329539324
254.10804513525494,219.3311527270565,265.88990705603373
169.98324191506646,152.5899626692075,193.86361353197708
243.09073542079278,240.31864908181782,282.6626979592803
170.1297394712453,157.7514462782338,202.1644017837088
185.34452593236426,156.1415595791026,200.14275627792432
231.58567802355284,238.5477397271774,283.08682529875574
192.49730791377428,168.1940649241387,214.73130036119366
175.02651652894113,141.47023369693997,184.5201793362089
265.36743300444346,236.2167685163805,280.5610971040931
164.65437230545342,135.06291942052164,180.74113894752296
160.29469408492176,154.7868320431617,204.4295891627821
125.37548551916196,108.19872926082199,150.98221806923385
216.77120907388542,195.06189041761613,240.61316795081157
215.33509778095544,200.2322753327585,243.2957372922438
219.4274743889419,200.85737739174252,247.4767603013736
283.77503033140465,253.44853510441527,297.8036028781886
170.20174574500595,152.34510189087092,195.04430945083712
158.38110408181237,163.52284715144543,203.25776056238712
184.21294444941486,167.2743461918806,212.49108534791674
