run,y_hat_mean,y_hat_median,lower,upper,y_true
1,18.260596132049198,18.2311751163156,15.27963514197876,21.39682376457933,15.478919009317119
2,25.162993241797007,25.13238621508885,22.10261160668127,28.464140404663695,26.649554853051313
3,17.128574578694117,17.110179267897806,13.132136608083467,21.25746296761887,19.153209240300704
4,31.40739953106761,31.35254001059931,27.247003340359473,35.77629451382005,30.280194782032222
5,17.726429313383587,17.684470247979867,14.321378126156905,21.236645774552294,17.107598094247894
6,18.675768674832995,18.627839134494586,15.033801183129302,22.538803770423034,18.839242055571294
7,21.65568895735646,21.60510712537059,17.81972787687613,25.723430289395566,22.50757271405787
8,29.006747826414,28.969755189460088,24.85250978569294,33.347452256517705,29.83022432964186
9,16.6152962141443,16.58133348287888,13.61760117517008,19.861477686395222,16.405180154643492
10,15.996561613083031,15.954909729581928,12.504284291447007,19.789547585965405,14.882817518229814
11,24.469615943445657,24.415182337933054,20.748026984808465,28.42195516992386,24.071182303751762
12,24.977941588422336,24.943124130947265,21.59555035034318,28.506775704969204,24.606826562108868
13,21.902592538120178,21.86060374874403,18.066338696076127,25.99375740775047,18.447495035536388
14,22.82418852602195,22.7947188627722,19.038238787495466,26.79036771904544,22.901982081626013
15,20.574443074098415,20.54073951721769,17.36804319726784,23.918890095587034,22.50500943576244
16,20.784880632746347,20.76566908278403,17.24921327415065,24.507694012107066,23.27027090254114
17,25.74392769700042,25.720940738547824,21.755781257061965,29.927688063532333,26.40415410139604
18,27.28486618933922,27.25450668659144,23.092887444234496,31.69100604567978,26.847230455948925
19,33.45327587393526,33.41423940122171,29.10292646152598,38.08153585080202,30.101683485749252
20,25.38768073342475,25.342017669537995,21.47431456783513,29.54061710923663,25.734583167300887
21,31.67745826808741,31.626370793894132,27.40459250872862,36.25342800718911,32.76677063468188
22,21.328375758745125,21.294264186869043,18.073889019468695,24.687976577553997,24.395924876318308
23,24.300527647851567,24.269551482154487,20.84184447142458,28.033621960953006,25.939886855325796
24,16.26662102956848,16.209642254960805,12.204757128185523,20.77053236812525,15.963352744554562
25,17.582801403519678,17.51780964515047,13.42773926875457,22.131713995983546,17.318245069679463
26,20.205849782104803,20.14959760788407,15.95940600229225,24.761020433589948,18.70868777559015
27,33.6515793226176,33.60625151817361,29.3114249258304,38.27384906016846,33.862522799040114
28,27.343318282156297,27.300827209288897,23.42968260734021,31.544744449380985,30.940071607983228
29,27.444884932951247,27.406651367699506,24.117293686604313,30.979845590629456,27.536420433575703
30,26.200472543059682,26.168516435550032,22.473256615211334,30.185351197362888,25.634584566756033
31,28.219979214614874,28.159899760045597,24.301093243090204,32.45512606153824,26.09411047353219
32,15.315706711669941,15.273172397792697,11.728776036466922,19.16947919423916,13.572636594123843
33,15.712421992235646,15.687819609666867,12.715143374261524,18.869781805575176,17.319631190727534
34,23.178515508633062,23.15939952789103,19.756317956485905,26.720406308836488,21.532090368500388
35,18.28200678611112,18.238958470000938,14.201649947487262,22.670520201040553,21.029211991814325
36,26.79327878652072,26.77343782854697,23.13098820145609,30.679836792680433,27.458209289023326
37,25.4319153922885,25.406187042219912,21.35233560375653,29.70750990723178,23.231864205477674
38,23.17464089785962,23.137190204833164,19.887978687730158,26.56739580850148,23.52542450437649
39,22.27202817726453,22.231154861447262,18.464530735823452,26.272638738065357,24.09648139507885
40,22.041530274267917,22.00373001041423,18.86696076141465,25.386734576536863,20.39844924223712
41,26.184568999444082,26.15967376451693,22.192314658092613,30.365602441581053,25.866093649976904
42,27.106302374042635,27.08036803194223,23.24372784269484,31.177430908205842,25.086517133895786
43,33.311759568835186,33.26000289072934,29.157681062409065,37.74000857723827,30.955572588528756
44,24.24294891961111,24.200769907985872,20.578500803454777,28.053109354572804,24.358887230349588
45,21.39432393006275,21.350583283712506,17.948671101300217,24.990511917156827,22.38967657108024
46,21.10934393917675,21.081672104626996,17.599789909222103,24.741731918051933,21.22645830406144
47,19.638617898266666,19.601598478370992,16.213710456405074,23.280941079033706,19.77942288837768
48,22.19140001269667,22.154649954448413,17.711209792028924,26.874747707370464,20.938211685450337
49,7.554947487476937,7.502052715014234,4.652772200900621,10.769521594754352,6.789124861061786
50,9.404213017558423,9.357057770083365,6.305797076929066,12.81927710332786,10.61198886824302
51,15.476915688928273,15.446117915820302,12.174343219614427,19.006160865855378,18.95082700010185
52,23.50757334372353,23.472225644981638,19.66905646004912,27.588554312601552,25.810755991240942
53,25.60478242392212,25.559488310702598,21.236930636866983,30.22562306188239,27.048995627037105
54,27.41190107996073,27.354181540602625,23.428028337317972,31.61476806859281,24.522140042765603
