true,lower,upper
432.20218901369674,380.19620826519116,478.47549881474225
454.730839082121,405.0407620974884,522.1675579804056
503.9715444052653,447.49868053359626,529.6531031422937
424.83614503253074,410.1653706882706,479.85483984618827
560.885567356906,513.1769771150723,592.9767242195359
544.4449530544792,484.94729327681324,577.7070266163083
601.8508430517063,563.8769195622887,639.3160369173808
414.3377655699566,371.1544946491682,466.99992282160616
456.0566825134821,408.79726303032527,490.70434732963844
436.80407955776525,363.69369222399763,451.36200315560086
457.2260985139729,416.211746391677,493.9604134984296
621.269742409843,567.2660448182054,678.929146858667
550.3424930680769,523.6056755542767,612.4534085499931
478.9559910076479,444.5284742460053,539.5346338306291
460.96603488546555,412.47903361233125,493.7565553630641
432.6488667080573,404.02848839998944,489.1410834249696
408.83857188961554,376.5240612469962,457.22652233203405
485.2500912487494,461.8073635894177,549.1471042540389
502.4654223095272,475.63543882396004,556.1029310576725
507.42831366514457,419.87601060647245,521.7342610050028
497.404852859148,472.2115955406475,543.7160549624158
528.2885537399166,457.633461056385,545.4303752367322
508.3492678557738,461.13016782366753,529.1511192864514
558.4299930303908,514.651802319614,600.3420269121636
515.5232059858796,441.0465444185848,523.0898939734681
405.9105402495332,406.85015208776946,499.4527797874122
564.5384030808211,507.7520381042595,610.1845085021081
511.2187217999674,469.3370970283807,568.1037562398506
503.6171455538631,442.76612582052644,537.9815373655837
500.5723097966796,449.68661035366796,531.4955091517343
478.08931851042206,444.25154165304053,526.3276990112431
516.4223326396849,506.32868776311363,611.7679806964375
453.6850437015699,430.9784928602452,520.5857078968497
483.37240942846955,453.40990289037165,549.2907786895674
428.6087784949261,361.49680681539155,449.77458145433656
448.7702020618558,455.6926712677755,548.4116693959963
469.96581756978605,448.87216902422074,532.1577084064621
573.964274490286,503.1383216365781,591.4164486006081
463.4216553126628,426.6368694251323,512.2675674854371
567.2627237177475,517.4532275807223,603.9057532858775
519.2784763101549,423.10505497877546,516.5015619379146
515.1361973916086,486.7235426602943,575.0042096823586
510.68536217504203,471.6386364487431,552.6459577989837
456.3392728009928,395.40544292975324,487.2169808831957
432.4014227838243,394.71148836255605,497.282920780975
586.1212069987573,546.3936438815423,622.679789595378
481.79251599920127,438.54536218073116,532.9912199369325
444.824464211682,420.0537136778687,494.6800926444204
434.7456484731997,393.33431765637033,475.4908456950876
551.799830322072,503.7786104899244,595.6031220181595
425.17496970168446,428.9753253515439,522.7097843245624
439.46557862220334,409.31912708916775,507.94888216846755
584.0045461505653,502.671002516329,595.2706699755464
527.9225322089645,473.25411524695573,576.018447231738
563.5630160437396,520.9839891455548,600.0810109660126
472.36080202370414,391.5165401798894,478.1764211120985
501.8968570176454,464.24155275606034,558.3427715800927
516.6064983697408,454.8130233789718,553.5846343996797
437.55708970038864,412.8610065014458,498.09247158382465
476.33719393558596,434.4938523914874,523.3323364140799
499.176092351019,479.13930402211844,560.6581203971143
417.19376164111026,335.5779607851619,446.2298053526009
554.3052790145451,512.1652748095219,605.135289388143
538.3776443803118,515.9944681987002,594.324441509392
459.9392095679973,419.5137303624598,513.9673712613838
431.4537655600847,436.12050649614326,523.6927533228952
592.2994981085079,561.4021424445059,635.6718399649694
476.4339546357614,431.17220446410374,522.0667884093617
539.5072313510982,489.5533389489745,568.10495727097
471.56197646620006,422.4085062582444,525.6727955882494
519.1999527869976,471.31166158048967,559.1902803434415
456.8975191847014,426.10001785221607,516.4531678271128
512.714794291156,476.61374514842606,574.7054372937674
548.810141303675,503.9814346958377,595.7943067287288
512.1944881948456,481.395790352904,550.1782551642974
446.6248428259167,409.8345740750413,489.9091821341518
514.647782947059,410.3946120348212,496.7437985670081
517.5610453312858,501.84202200136195,597.4277530540754
459.27773908078154,442.87080742736396,525.2340167031999
521.7211785418265,480.613510576464,559.6293937504256
558.2827502991817,491.69846905120187,576.7702303880051
456.90432643613013,453.36212682282377,552.6096263103854
508.499944540118,459.3711830953044,529.4272300104471
528.2274582558904,475.9954420402621,562.6502910170594
508.9626072737341,482.8477420968574,563.945214596927
583.5020107786919,495.212182021839,580.1237673173742
519.690470076524,448.443024564573,543.1999584771532
500.9463225905061,427.52902232932445,517.0686080553894
375.38671408570605,324.8525704431836,424.7511009901372
538.0851422925736,514.6328248332109,604.0041638259394
566.9822576449362,521.3794718902054,605.9993386158347
450.5747060365272,405.5188035471853,489.7225935929051
556.9694349474249,506.4027827619549,594.814749127826
471.27577156461547,418.5175358816527,516.296028851931
516.4744350763743,492.17252135656577,574.6192590874059
496.2461866859792,448.1928399552562,548.918285265328
540.9204848830884,484.88177714824093,596.9041940922181
425.317254030961,416.16386341471167,501.93602106544756
503.03494186797064,456.7539231478194,554.3477839865415
463.2171596606628,439.2569579231276,515.1608013382388
396.77108947459556,396.8726822489108,487.2421996512683
620.6712756701005,543.7023538905647,635.7475222703085
487.6852311191594,450.89226582222966,537.5539031319586
478.6834405343779,430.58995118238454,532.0998695009166
495.4622997057159,464.9633649616722,561.5057773065115
498.7872573560916,441.447537138429,519.0982208718835
612.888615043785,563.6906089177567,658.5344730550194
414.2283593531224,357.21698066467906,451.70976093883525
555.160063130985,492.7880255639571,574.1317835941682
562.9911443391594,502.7894600563811,601.670607048531
516.3764163020147,471.9357021880353,568.7584980466653
449.2426446058715,409.51240070112,503.91462324050093
509.80326330758623,461.6236164444923,536.1923457548564
399.32053509199216,355.1593750428067,454.188650769828
502.6407364492747,469.0716356125965,558.8572366291935
491.43020039519826,431.06013907696615,536.0208263654995
468.27995408315746,420.49829115123845,512.2708956801921
486.4937666884392,449.53867380787506,548.1372983760616
492.67456390393875,453.1102296248278,533.3570969203008
522.8639070413323,492.2371990615839,581.6988908674062
403.4140247552372,345.64662707790706,423.09119526933176
493.40671557634835,445.46975209323347,529.7212464377991
444.1200640002237,409.5232724996579,481.8203015668403
627.3691400949466,583.8839238413293,676.1031514038546
569.1374125515283,503.8543153939244,583.8263486396883
467.47592441655416,444.82657053398395,533.2425219394478
411.19260772964,376.88432835439863,463.18349641602555
383.30501298114166,363.7482934866519,444.8449564897557
477.33224768382513,404.51991768080927,503.2182573206225
468.3726906761449,425.7917215239085,514.6043151113091
529.9656780475593,466.99968146588014,547.5704747422247
458.3333451081181,421.4017969765536,529.3880939769025
469.53935101134607,448.8615592674314,522.793903077746
476.09617070466913,428.49029548792356,521.1339048559645
511.9818817684127,446.99027697586473,556.5252965513191
521.1663211617298,501.7721965365599,610.5862375916455
446.6249603189303,427.6608490509897,524.9337171479877
453.4347834255499,407.2576552990048,494.14932576726414
430.520658803832,395.1890033644761,488.4066851368278
441.18224943211783,429.89698993008483,517.1273739285136
544.9836597338444,482.4745159274172,568.7925701611125
597.3330125646567,539.5022732347128,618.379276740529
578.6991486875713,482.26340195087846,572.5745995022496
580.7504999401768,500.6913820325418,583.7365700076796
558.8955166008734,493.3549949069753,589.817157324744
583.8973367679026,512.330172089234,600.5284273677579
485.5534796458694,432.767736190526,553.26931414199
503.2949316974327,428.5988865906903,525.8106286185036
462.7364876415263,434.11226947794506,524.8616067207874
583.9644922577667,512.1935057280112,595.5047094265506
472.2150127665622,424.271677826742,517.9114501583616
502.5293763187176,434.5922743196084,537.4011396127213
545.0717300268077,473.28592176311804,573.0621861128247
496.20763596928197,433.533739082654,516.666109225597
462.1412444453244,437.35375624889616,533.6510365646739
486.5209348857307,424.21129583433196,526.7019516485018
507.2159510244333,472.20395342856017,575.7636792966355
554.1807497127745,502.4821796656226,592.5776875995557
590.8794522375067,559.1889497001886,634.5185854403755
445.6957842452328,404.31586195823553,481.87579503619736
568.0915975385291,543.488738770035,641.5542375082842
470.43665151591773,421.5225423416747,520.6895396983376
507.3630225681363,456.7264908401877,558.9596072656004
425.9056081034978,386.9269452384846,466.1806192964319
462.7666828207928,454.1457438347273,542.7340622814797
458.2883861702321,395.30965445514664,488.95443964741196
520.488078846449,470.9249768174678,572.9383918682117
418.84718999180393,368.7408499586683,467.3206864868863
502.2120099773764,466.4048132528965,574.693658156933
